農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務 ,其他
98066,262368,9808,956,470853,399,40267,63438,0,0,0,0,73,28,13,3587,238800,28258,1,0,47250,58,0,566,928,4340
86836,176048,71,1184,876,921,55,4,0,0,3,0,0,4,0,8581,154,3,42,114,176772,5655,0,596,890,3793
1934,774,267179,4683,11695,585,1103,1051,7369,0,53,76,167,417,969,14992,49,838,1956,288,5493,782,88,2828,428,2425
689,15089,5664,107395,8828,2364,3299,5136,7192,182,3644,4183,1559,1530,1136,5948,290,7661,44232,1460,23365,50358,12396,18784,10653,15590
45376,26549,97330,37170,1710244,19673,23869,109931,212465,132835,36192,16682,26749,33093,37736,43756,51831,78670,78949,174611,22799,15354,758,62724,34075,32235
783,693,3,11,135,62484,69,21,12,213,406,2294,47,414,103,361,24,1205,292,72,34,9437,7,4107,3740,1376
82,3372,2031,151,4827,3142,64449,13111,24646,88343,177,63,1926,3187,3118,1452,442,171099,59,0,2764,223,0,5474,1513,1234
2388,13995,1427,4414,48929,3432,8023,1222990,77434,6985,20394,14652,102295,239380,100767,49808,3243,260261,909,2664,5213,1352,6,16345,11291,92129
0,0,0,2,24,21871,148,348,924819,104042,1046207,165167,38680,14551,1833,4317,20,4407,13,23,0,1154,0,49337,1513,4100
0,0,0,0,2,704,8,55,3969,335975,91930,23292,4114,999,1489,536,2,17645,0,0,0,0,0,4658,205,0
32,1162,829,494,3093,1561,231,986,8693,267,203066,16396,922,5577,752,1194,280,20402,37405,6120,8510,10346,13368,14175,4997,9178
280,631,875,1254,3483,8713,776,2991,5638,1517,27652,125985,3019,13640,4213,2319,951,14560,30372,5442,5938,8135,9650,19329,13243,23145
240,61,182,80,1032,1400,399,3240,12521,1725,23751,23193,170951,54648,14283,3921,1567,91275,447,698,53,3258,73,13073,6101,3522
7404,2107,3319,3092,24809,1751,6730,28349,49526,18573,1280,2820,18128,237477,18750,4509,19047,57745,851,30385,275,1673,423,16419,8320,7294
5,0,74,0,173,1215,49,85,0,0,97,187,145,29137,301952,588,1,313,4929,14902,11,280,0,53219,291,1186
0,2336,339,2658,3348,1552,20248,472,2436,408,310,853,386,502,11383,34869,18059,26965,22803,1622,713,6214,3479,5450,14357,333
4860,13103,20530,11210,127150,10580,22676,58738,67528,25382,4816,9976,4759,9649,7987,5461,98151,19454,70515,11877,26671,8633,4908,10838,26785,14646
4573,4815,5126,4540,14014,4571,4860,18869,14231,1323,9164,16505,3289,8799,3372,4073,13968,253592,214100,27095,78354,26202,34471,36987,20910,35089
45323,65467,44952,34104,101094,142942,32643,167756,87213,25025,30730,53939,46995,103172,80612,43006,11384,162956,142337,31277,71327,38768,2708,57339,25215,27503
7481,11064,5616,3623,22328,6651,16015,24793,13107,4522,7418,5488,4740,14560,6892,6847,2516,38909,75059,235516,10745,7175,11824,11088,12901,16621
0,11,58,2,166,87,18,218,655,196,731,210,106,484,142,22,25,444,4081,2313,284,89,558,1044,151,411
113,15053,2428,2261,10620,3842,750,3093,3562,114,14893,27885,1294,3679,4612,4682,114,38208,80993,5653,9159,140163,15788,19355,26719,15759
3949,7727,7047,5727,26676,4969,4801,25303,30347,12647,15553,7327,5133,9497,6976,6227,4929,140833,79312,18118,9424,7144,300716,11982,7617,31411
2865,8050,5240,4916,24125,7659,19921,24744,51061,9792,37807,25768,6560,12238,12778,6610,7333,73723,231922,90861,16001,14520,36325,43137,21852,56689
662,2006,1433,18551,6994,4042,1810,46929,3503,931,2079,1499,780,1799,566,723,1262,14116,9042,5340,3261,3621,9988,5917,58716,59072
1643,2466,1191,889,4154,1865,951,5738,3966,868,921,3095,1233,2912,1368,1849,4347,20654,25362,8556,2227,4059,12070,2817,3975,8643
672002,860243,645917,345029,3373378,831207,350764,2407060,3178062,989647,1958633,905384,570911,1085625,848400,393354,822053,3565838,4425810,1194452,1005792,718808,1580607,1527126,1276491,1749039
