農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
88020,189025,15060,1526,268208,164,24647,25088,402,88,99,0,337,353,407,4491,68955,37672,0,37,742,0,0,461,75,940
60864,73212,777,244,1159,365,7,0,0,0,0,0,0,5,0,12088,48,0,2,0,1849,82,0,1080,366,3930
2151,965,279099,1912,12860,1242,351,796,303,43,1014,118,1139,417,1208,8534,62,349,2584,226,3011,283,0,2889,465,1776
1036,10460,7027,101383,8446,2347,2671,4268,3768,490,7247,1918,3510,1693,1404,4223,511,2648,27216,2414,5194,51335,16607,19020,7040,11653
35958,18012,103018,18803,722454,9322,18359,49661,103373,25844,49694,5140,36900,23553,28214,26690,62094,59555,47763,109075,12042,3663,1340,27209,13051,10936
2490,2068,506,201,827,35260,105,245,488,179,1255,199,562,493,452,86,5,3959,9668,354,292,375,4070,1710,3318,1673
226,1642,104,144,2718,1813,30082,6923,20878,8126,2441,0,3563,3909,3737,2045,9,108776,87,6,1290,72,0,1388,568,502
2303,13676,1271,1344,15416,1282,4449,487150,42023,2285,14203,5097,73529,122179,52422,36289,563,126614,1018,914,478,974,0,3851,1186,2024
0,0,0,1,385,0,47,38,336592,28144,408557,70068,11438,23468,1877,3706,0,0,0,224,3,1193,0,15464,474,1047
0,0,0,0,0,0,0,0,1065,37721,113924,1243,762,3360,184,250,0,0,0,0,0,0,0,1528,5,1
272,2016,1933,3426,4527,2887,681,2542,6076,1650,114272,4779,2870,11337,2971,2071,441,7504,19093,7159,6489,9399,40189,14863,5734,17543
1189,694,1657,1674,3075,3366,611,3035,2593,564,20617,38256,1224,2930,1883,1369,389,7467,41155,7767,3626,4384,8962,9126,6539,29471
412,265,1057,414,2164,601,523,3034,17545,2428,27889,7835,75405,27272,8970,1919,10334,73003,792,492,510,1520,452,6546,3438,4933
5217,1693,5705,4209,9613,5543,3613,11753,20174,2985,6947,651,13575,77598,10628,3266,5080,15703,2277,3169,300,10821,1959,11403,5994,4627
3145,118,196,143,940,1075,191,201,15,0,102,2,107,546,132879,371,63,92,3422,33375,74,269,46,25515,292,846
2179,985,3724,932,1861,172,489,1756,428,74,1087,290,1481,1891,4268,36123,600,21615,3995,936,1139,3758,400,2917,5411,1254
5767,7406,22060,10828,58747,6858,8387,25898,18097,1647,3977,6852,4222,5467,3958,4429,49630,3600,31950,5871,15406,4699,3419,12432,10813,6735
1711,1669,2723,1710,5160,3272,1521,3592,3764,469,3696,13024,1930,4074,1422,1892,6139,97785,88964,14745,16392,9667,31897,23132,4788,5045
16610,26054,26933,24102,53020,9574,12317,59247,35465,6351,37958,26193,28360,35845,30367,17004,3295,58312,29747,20690,4795,15158,3643,18758,4887,11017
6127,8969,8530,4116,19062,5003,8470,14217,10472,1721,13663,3705,5308,9472,4932,6513,2509,34934,40295,88917,3119,3769,8770,7295,4207,16365
266,641,1085,488,2265,734,293,1396,1349,267,3255,756,945,2297,799,475,146,1936,11105,3476,447,1127,1129,3838,4123,7605
193,11088,1807,2992,7931,3689,678,1700,4832,632,12378,13664,2824,2308,2077,1618,421,12669,46086,3996,4016,66900,11393,11317,1230,43476
24483,12480,25593,8318,31980,4556,7932,39440,30461,7356,32885,8229,12291,9744,8379,5169,12863,74832,94026,34650,4967,5540,272399,13247,7168,95530
3354,7931,8882,4234,29236,5545,3639,14488,46973,6916,33867,24975,10181,14579,13719,7149,8314,65337,89613,53402,7950,4402,29343,16715,6233,25240
595,1618,1888,874,3637,3075,664,3953,3387,609,4382,1154,1414,1656,1929,846,383,3310,7457,4363,1510,2655,17986,4448,5794,9736
1942,2966,2461,9960,9476,3089,1496,40267,24857,3304,9044,3640,4210,5130,2835,1525,841,7862,10545,2718,2352,36687,955,18868,3795,49532
513008,542236,685985,304170,1673034,391533,194653,1037233,1061206,161998,1165084,492677,389989,559535,467915,268512,447109,2145569,2028269,782790,321562,391590,1277524,822102,695419,1179374
