農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
50426,200912,17297,1574,89979,82,15137,10870,164,0,0,0,157,106,135,20435,21389,11647,102,21,192,0,0,46,14,3539
64757,62206,1452,1018,1646,262,0,4,0,0,0,0,2,5,0,13161,0,0,1,0,17,200,0,172,110,5462
1325,342,278009,666,19741,803,207,327,155,0,0,24,375,101,508,17434,24,279,914,203,1040,133,0,954,66,4708
412,5446,6732,63890,7852,973,2791,2240,6678,0,46,364,2341,934,695,7635,185,617,8581,1172,540,1242,2052,15115,2442,9083
26149,10123,64690,11960,339916,3724,11466,25913,21226,0,5,240,14560,7905,11792,49242,26677,16290,16500,44669,2295,470,375,9002,2344,16785
1281,2211,365,102,539,19666,64,49,177,0,0,7,117,123,45,155,44,356,2311,100,55,52,642,514,704,1202
200,764,160,49,883,573,12180,5704,5366,0,0,0,1478,1196,1228,2716,14,50488,10,41,604,18,0,266,280,2816
925,7444,1004,1088,9014,127,2308,251966,27266,0,0,4,37307,48010,36097,19348,205,43045,247,291,123,60,0,1298,337,11026
219,0,2,3,36,0,4,275,169516,0,134,452,5000,6888,1104,2874,312,474,88,70,2,194,0,804,200,7615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,110,220,185,266,10,22,51,120,0,11,23,66,84,259,121,0,189,459,398,41,34,231,157,36,238
479,518,984,543,1151,588,295,795,927,0,13,1098,447,681,335,1178,81,366,11786,1813,837,156,1303,1421,1191,14650
321,92,576,141,675,32,280,1564,14904,0,6,343,42345,5031,4657,1945,2585,16731,62,216,213,191,49,1956,831,4965
2536,796,5046,1329,5459,935,3357,4848,3222,0,15,4,5812,21985,4173,2480,486,3215,819,1240,18,392,274,3958,866,4584
1868,107,279,126,172,113,296,138,14,0,2,58,37,178,52113,478,45,74,982,9278,25,26,100,4026,103,4075
2001,916,4114,1196,5916,97,378,896,1672,0,16,33,1378,928,1780,66881,129,12199,2609,578,298,753,335,1556,773,3337
3446,4908,18199,4986,17760,1361,6684,12780,3804,0,60,831,2115,2285,2110,5542,22854,1889,6668,2048,5864,1218,884,3692,3710,6703
654,718,1548,317,1796,261,384,988,767,0,25,1648,372,434,317,792,2251,42401,7082,2146,1098,287,2120,2467,1618,786
9353,25571,12183,5311,16623,3549,2855,18851,16629,0,45,137,8573,6926,8207,15379,2340,14759,2833,1698,879,517,625,3923,1460,12807
3348,4059,6776,2308,7868,1168,3472,6213,3284,0,57,996,1877,2664,2223,7281,1318,8482,14462,33948,278,240,957,1727,810,9265
232,546,1105,289,955,315,152,478,575,0,23,87,346,470,278,998,77,568,2705,1013,3,172,599,579,1118,4976
8,1,0,45,0,0,0,18,0,0,0,0,0,0,0,3,16,218,0,0,0,6345,0,7820,0,700
5795,3945,6533,1573,7782,243,1213,6903,3202,0,15,94,1754,1519,2351,2297,8911,4306,15749,5552,1389,143,10626,747,765,2661
1120,4995,6953,2389,9481,1273,1239,3831,4962,0,114,738,2547,2192,2498,5423,1847,7933,28550,11177,2968,2639,4263,5946,1554,8103
397,614,1952,323,1752,82,287,1066,1250,0,1,36,646,478,578,776,267,656,946,1347,81,339,2543,1365,1092,1560
1435,3410,4992,5997,7544,655,1172,19625,1987,0,21,63,1699,1091,328,3728,464,2921,4010,1316,386,266,1725,941,761,35427
372222,465677,615363,160293,795178,81815,112364,500257,379403,1,3324,56354,180926,169674,196261,365640,180959,507650,493224,250307,63505,37673,113922,177727,127318,418329
